Consecutivo,id,neighbourhood_b,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,cleaning_fee,minimum_nights,availability_30,number_of_reviews,cancellation_policy,host_since,24-hour check-in,Air conditioning/central air conditioning,Amazon Echo/Apple TV/DVD player/game console/Netflix/projector and screen/smart TV (i.e. non-basic electronics),BBQ grill/fire pit/propane barbeque,Balcony/patio or balcony,Beach view/beachfront/lake access/mountain view/ski-in ski-out/waterfront (i.e. great location/views),Breakfast,Cable TV/TV,Coffee maker/espresso machine,Cooking basics,Dishwasher/Dryer/Washer/Washer and dryer,Elevator,Exercise equipment/gym/private gym/shared gym,"Family/kid friendly, or anything containing 'children'",Free parking on premises/free street parking/outdoor parking/paid parking off premises/paid parking on premises,Garden or backyard/outdoor seating/sun loungers/terrace,Host greets you,Hot tub/jetted tub/private hot tub/sauna/shared hot tub/pool/private pool/shared pool,Internet/pocket wifi/wifi,Long_term_stays_allowed,Pets allowed/cat(s)/dog(s)/pets live on this property/other pet(s),Private_entrance,Self_check-in,Smoking_allowed,"Step-free access/wheelchair accessible, or anything containing 'accessible'",Suitable_for_events,Unnamed: 27,total_paid_amount,host_days_active
13887,30850380,Cuauhtemoc,Apartment,Entire home/apt,10,2.5,5,5,2390,956,1,30,1,strict,8/10/2014,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,,3346,1779
13888,30850400,Juarez,Apartment,Entire home/apt,4,2,2,2,1721,478,2,24,22,moderate,9/18/2015,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,,2199,1375
13889,30852155,Coyoacan,Apartment,Entire home/apt,5,2,3,3,1243,800,2,1,6,strict,11/5/2018,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,,2043,231
13891,30854213,San Rafael,Apartment,Entire home/apt,2,1,1,1,898,478,3,0,3,strict,8/28/2014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,,1376,1761
13893,30859823,Condesa,Apartment,Private room,2,1,1,1,440,0,1,26,38,moderate,10/27/2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,,440,605
13894,30865440,Del Valle,Hotel,Private room,1,1,1,1,344,100,1,14,3,flexible,12/14/2018,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,,444,192
13895,30865606,Buenavista,House,Entire home/apt,2,1,1,1,650,300,2,0,10,flexible,12/15/2018,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,950,191
13897,30873751,San Miguel Chapultepec,House,Private room,2,1,1,1,497,200,1,2,23,flexible,1/22/2016,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,,697,1249
13898,30881362,Roma Norte,Apartment,Entire home/apt,2,1,1,1,707,860,2,0,8,flexible,8/16/2014,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,,1567,1773
13899,30881918,Cuauhtemoc,Apartment,Private room,2,1,1,1,803,0,1,29,0,flexible,9/23/2016,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,803,1004
13900,30883911,Portales,House,Private room,1,1,1,1,497,0,4,30,0,flexible,9/23/2018,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,,497,274
13901,30885642,Del Valle,Apartment,Entire home/apt,3,1,1,2,421,0,2,26,2,flexible,7/6/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,,421,353
13902,30885707,Condesa,Apartment,Private room,1,1,1,1,287,153,3,4,1,moderate,8/22/2015,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,440,1402
13904,30889572,Anzures,Apartment,Entire home/apt,4,1,1,1,1109,350,1,24,7,strict,12/15/2018,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,,1459,191
13905,30892306,Del Valle,Apartment,Entire home/apt,2,1,1,1,2500,0,2,0,13,strict,7/24/2017,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,,7647,700
13907,30893635,Polanco,Apartment,Entire home/apt,6,3.5,3,3,2500,500,2,9,4,flexible,12/16/2018,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,,5490,190
13908,30893969,Vista Alegre,Apartment,Private room,1,1,1,1,401,0,2,30,0,flexible,12/16/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,401,190
13909,30901456,Condesa,House,Entire home/apt,15,3.5,5,8,2500,765,1,23,17,moderate,12/16/2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,7456,190
13912,30905360,Escandon,House,Private room,2,1,1,1,707,100,1,0,10,flexible,4/25/2018,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,,807,425
13913,30906090,Hipodromo,Apartment,Private room,2,1,1,1,593,400,3,10,9,strict,11/12/2015,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,,993,1320
13914,30906491,Coyoacan,Apartment,Entire home/apt,4,1,2,2,937,250,2,10,4,flexible,2/3/2012,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,,1187,2698
13915,30907106,Polanco,House,Shared room,2,1,1,1,497,0,1,28,1,flexible,4/24/2018,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,,497,426
13916,30908617,Escandon,Apartment,Private room,2,1,1,1,497,0,2,23,3,flexible,7/1/2014,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,,497,1819
13917,30910230,Roma Norte,Apartment,Entire home/apt,2,1,1,1,956,500,4,1,7,moderate,6/25/2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1456,1460
13918,30911456,Pedro Maria Anaya,Apartment,Entire home/apt,5,2,2,4,898,350,3,24,14,moderate,12/16/2018,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,,1248,190
